entity_label,base_spacy,ruler_before_ner,ruler_after_ner
AGREEMENT,0,6,0
CARDINAL,138,138,138
CLIMATE_EVENT,0,5,3
DATE,256,256,256
EVENT,8,2,8
FAC,9,8,9
GPE,165,164,165
LAW,5,5,5
LOC,93,93,93
MONEY,63,63,63
NORP,21,21,21
ORDINAL,9,9,9
ORG,184,184,184
PERCENT,103,103,103
PERSON,36,36,36
PRODUCT,6,6,6
QUANTITY,92,92,92
REPORT,0,2,0
TIME,8,8,8
WORK_OF_ART,6,5,6
