strategy,averaging,precision,recall,f1,true_positives,false_positives,false_negatives
exact,micro,0.009983361064891847,0.17391304347826086,0.01888276947285602,12.0,1190.0,57.0
exact,macro,0.012905844155844155,0.013251563251563252,0.01305965276553512,,,
partial,micro,0.029950083194675542,0.5217391304347826,0.056648308418568064,36.0,1166.0,33.0
partial,macro,0.03592171717171717,0.03641774891774892,0.03610988684518096,,,
type_agnostic,micro,0.011647254575707155,0.2028985507246377,0.022029897718332022,14.0,1188.0,55.0
type_agnostic,macro,0.015503246753246751,0.01584896584896585,0.015657055362937718,,,
